Address ID,Full Address,Street Number,Street Name,Building ID,MapLot,Latitude,Longitude,Type,Zip Code,Neighborhood,Election Ward,Election Precinct,Election Polling Address,Representation District,Senate District,CAD Reporting District,Police Sector,Police Car Route,Police Walking Route,Police Neighborhood,Police Business District,Census Tract 2010,Census Block Group 2010,Census Block 2010,Census Block ID 2010,Street Sweeping District
3767,18 Clary St,18,Clary St,339-23,83-69,42.374,-71.0983,BUILDING,02139,Wellington-Harrington,6,1,344 Broadway,26th Middlesex,Middlesex and Suffolk,302,1,3R,3A,3,3,352700,3,3000,250173527003000,A
3315,16 Springfield St,16,Springfield St,343-5,83-5,42.3742,-71.1005,BUILDING,02139,Wellington-Harrington,6,1,344 Broadway,26th Middlesex,Middlesex and Suffolk,302,1,3R,3A,3,3,352700,3,3003,250173527003003,A
524,26 Soden St,26,Soden St,572-6,124-16,42.3661,-71.1084,BUILDING,02139,Riverside,4,2,795 Massachusetts Ave,25th Middlesex,Middlesex and Suffolk,702,3,6R,7A,7,6,353500,1,1001,250173535001001,E
525,411 Franklin St,411,Franklin St,558-20,119-65,42.3668,-71.1087,BUILDING,02139,Riverside,4,2,795 Massachusetts Ave,25th Middlesex,Middlesex and Suffolk,702,3,6R,7A,7,6,353500,1,1000,250173535001000,E
559,348 Franklin St,348,Franklin St,594-1,124-63,42.366,-71.1078,BUILDING,02139,Riverside,4,2,795 Massachusetts Ave,25th Middlesex,Middlesex and Suffolk,702,3,6R,7A,7,6,353500,1,1005,250173535001005,E
560,466 Green St,466,Green St,558-22,119-87,42.3668,-71.1078,BUILDING,02139,Riverside,4,2,795 Massachusetts Ave,25th Middlesex,Middlesex and Suffolk,702,3,6R,7A,7,6,353500,1,1000,250173535001000,E
561,332 Franklin St,332,Franklin St,594-3,124-48,42.3657,-71.1074,BUILDING,02139,Riverside,4,2,795 Massachusetts Ave,25th Middlesex,Middlesex and Suffolk,702,3,6R,7A,7,6,353500,1,1005,250173535001005,E
564,806 Massachusetts Ave,806,Massachusetts Ave,575-2,119-23,42.3668,-71.1062,BUILDING,02139,Riverside,4,2,795 Massachusetts Ave,25th Middlesex,Middlesex and Suffolk,701,3,6R,C12,7,4,353000,1,1000,250173530001000,E
566,770 Massachusetts Ave,770,Massachusetts Ave,575-4,119-94,42.3665,-71.1059,BUILDING,02139,Riverside,4,2,795 Massachusetts Ave,25th Middlesex,Middlesex and Suffolk,701,3,6R,C12,7,4,353000,1,1000,250173530001000,E
568,5 Western Ave,5,Western Ave,604-4,105-61,42.3653,-71.1055,BUILDING,02139,Riverside,4,2,795 Massachusetts Ave,25th Middlesex,Middlesex and Suffolk,705,3,6R,7A,7,4,353500,1,1003,250173535001003,E
573,838 Massachusetts Ave,838,Massachusetts Ave,539-20,119-92,42.3672,-71.1069,BUILDING,02139,Riverside,4,2,795 Massachusetts Ave,25th Middlesex,Middlesex and Suffolk,702,3,6R,7A,7,6,353800,4,4002,250173538004002,E
574,842 Massachusetts Ave,842,Massachusetts Ave,539-16,119-9,42.3673,-71.107,BUILDING,02139,Riverside,4,2,795 Massachusetts Ave,25th Middlesex,Middlesex and Suffolk,702,3,6R,7A,7,6,353800,4,4002,250173538004002,E
1040,101 Western Ave,101,Western Ave,594-12,124-90,42.3652,-71.1076,BUILDING,02139,Riverside,4,2,795 Massachusetts Ave,25th Middlesex,Middlesex and Suffolk,702,3,6R,7A,7,6,353500,1,1005,250173535001005,E
1174,109 River St,109,River St,623-21,125-132,42.3643,-71.1084,BUILDING,02139,Riverside,4,2,795 Massachusetts Ave,25th Middlesex,Middlesex and Suffolk,703,3,6R,7A,7,4,353400,1,1003,250173534001003,E
8,29 Kinnaird St,29,Kinnaird St,587-26,123-9,42.3654,-71.1093,BUILDING,02139,Riverside,4,1,Magee St & Callender St,25th Middlesex,First Suffolk and Middlesex,702,3,6R,7A,7,6,353500,1,1002,250173535001002,E
470,900 Memorial Dr,900,Memorial Dr,560-22,130-144,42.3668,-71.1153,BUILDING,02138,Riverside,4,3,2 Mount Auburn St,25th Middlesex,First Suffolk and Middlesex,706,3,6R,7B,7,5,353900,2,2000,250173539002000,E
1996,12 Howard St,12,Howard St,629-24,125-16,42.3639,-71.1105,BUILDING,02139,Riverside,4,1,Magee St & Callender St,25th Middlesex,First Suffolk and Middlesex,703,3,6R,7A,7,4,353400,1,1005,250173534001005,E
1628,11-A Jay St,11-A,Jay St,629-1,125-111,42.3642,-71.1101,BUILDING,02139,Riverside,4,1,Magee St & Callender St,25th Middlesex,First Suffolk and Middlesex,703,3,6R,7A,7,4,353400,1,1005,250173534001005,E
2181,135 Western Ave,135,Western Ave,572-48,124-25,42.3651,-71.1086,BUILDING,02139,Riverside,4,2,795 Massachusetts Ave,25th Middlesex,Middlesex and Suffolk,702,3,6R,7A,7,6,353500,1,1001,250173535001001,E
2323,13 Pleasant St,13,Pleasant St,558-30,119-52,42.3657,-71.1064,BUILDING,02139,Riverside,4,2,795 Massachusetts Ave,25th Middlesex,Middlesex and Suffolk,702,3,6R,7A,7,6,353500,1,1000,250173535001000,E
2648,14 Soden St,14,Soden St,572-40,124-84,42.3658,-71.1084,BUILDING,02139,Riverside,4,2,795 Massachusetts Ave,25th Middlesex,Middlesex and Suffolk,702,3,6R,7A,7,6,353500,1,1001,250173535001001,E
2337,13 Soden St,13,Soden St,594-4,124-62,42.3657,-71.1081,BUILDING,02139,Riverside,4,2,795 Massachusetts Ave,25th Middlesex,Middlesex and Suffolk,702,3,6R,7A,7,6,353500,1,1005,250173535001005,E
2397,141 Western Ave,141,Western Ave,572-49,124-26,42.365,-71.1087,BUILDING,02139,Riverside,4,2,795 Massachusetts Ave,25th Middlesex,Middlesex and Suffolk,702,3,6R,7A,7,6,353500,1,1001,250173535001001,E
2983,15 Pleasant St,15,Pleasant St,558-33,119-53,42.3656,-71.1066,BUILDING,02139,Riverside,4,2,795 Massachusetts Ave,25th Middlesex,Middlesex and Suffolk,702,3,6R,7A,7,6,353500,1,1000,250173535001000,E
3313,16 Soden St,16,Soden St,572-37,124-20,42.3659,-71.1084,BUILDING,02139,Riverside,4,2,795 Massachusetts Ave,25th Middlesex,Middlesex and Suffolk,702,3,6R,7A,7,6,353500,1,1001,250173535001001,E
4184,1 Jay Street Pl,1,Jay Street Pl,587-24,123-16,42.3654,-71.1096,BUILDING,02139,Riverside,4,1,Magee St & Callender St,25th Middlesex,First Suffolk and Middlesex,702,3,6R,7A,7,6,353500,1,1002,250173535001002,E
4356,208 Western Ave,208,Western Ave,629-9,125-2,42.3647,-71.1104,BUILDING,02139,Riverside,4,1,Magee St & Callender St,25th Middlesex,First Suffolk and Middlesex,703,3,6R,7A,7,4,353400,1,1005,250173534001005,E
4495,20 Soden St,20,Soden St,572-35,124-19,42.366,-71.1084,BUILDING,02139,Riverside,4,2,795 Massachusetts Ave,25th Middlesex,Middlesex and Suffolk,702,3,6R,7A,7,6,353500,1,1001,250173535001001,E
4898,22 Hancock St,22,Hancock St,558-12,119-77,42.3673,-71.1098,BUILDING,02139,Riverside,4,2,795 Massachusetts Ave,25th Middlesex,Middlesex and Suffolk,702,3,6R,7A,7,6,353500,1,1000,250173535001000,E
